IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.211.16,2087,2087,true,SIN,Asia Pacific,Singapore,77,13.45
8.222.154.227,8443,8443,true,SIN,Asia Pacific,Singapore,158,13.45
47.237.5.164,8880,8880,false,SIN,Asia Pacific,Singapore,17,13.45
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,10,13.45
8.219.84.214,2053,2053,true,SIN,Asia Pacific,Singapore,76,13.45
8.219.245.187,443,443,true,SIN,Asia Pacific,Singapore,175,13.45
8.222.208.38,2083,2083,true,SIN,Asia Pacific,Singapore,71,13.45
8.219.53.142,2087,2087,true,SIN,Asia Pacific,Singapore,107,13.44
47.245.40.55,2082,2082,false,HKG,Asia Pacific,Hong Kong,161,13.44
8.219.82.177,2095,2095,false,SIN,Asia Pacific,Singapore,6,13.44
8.219.247.203,2083,2083,true,SIN,Asia Pacific,Singapore,50,13.44
8.219.215.214,2053,2053,true,SIN,Asia Pacific,Singapore,92,13.44
47.236.117.48,2082,2082,false,SIN,Asia Pacific,Singapore,15,13.43
8.219.0.162,8080,8080,false,SIN,Asia Pacific,Singapore,5,13.43
8.219.3.53,2086,2086,false,SIN,Asia Pacific,Singapore,11,13.43
8.222.133.247,2095,2095,false,SIN,Asia Pacific,Singapore,14,13.43
47.236.116.208,2083,2083,true,SIN,Asia Pacific,Singapore,152,13.43
8.222.168.234,2053,2053,true,SIN,Asia Pacific,Singapore,164,13.43
8.222.219.34,2082,2082,false,SIN,Asia Pacific,Singapore,6,13.43
47.236.166.131,8080,8080,false,SIN,Asia Pacific,Singapore,51,13.42
47.236.97.58,80,80,false,SIN,Asia Pacific,Singapore,39,13.42
8.219.75.44,2096,2096,true,SIN,Asia Pacific,Singapore,80,13.42
8.222.193.208,2087,2087,true,SIN,Asia Pacific,Singapore,76,13.42
8.222.237.131,2096,2096,true,SIN,Asia Pacific,Singapore,78,13.41
47.236.65.177,8880,8880,false,SIN,Asia Pacific,Singapore,50,13.41
47.245.58.175,2086,2086,false,NRT,Asia Pacific,Tokyo,92,13.41
47.236.121.23,2052,2052,false,SIN,Asia Pacific,Singapore,5,13.41
8.219.77.111,8080,8080,false,NRT,Asia Pacific,Tokyo,80,13.40
8.218.126.53,2052,2052,false,HKG,Asia Pacific,Hong Kong,34,13.40
8.222.164.44,2083,2083,true,SIN,Asia Pacific,Singapore,81,13.40
8.222.253.235,2086,2086,false,SIN,Asia Pacific,Singapore,5,13.39
8.219.107.199,2087,2087,true,SIN,Asia Pacific,Singapore,118,13.39
47.245.111.171,8080,8080,false,SIN,Asia Pacific,Singapore,13,13.39
8.219.99.49,443,443,true,SIN,Asia Pacific,Singapore,67,13.39
8.222.146.222,8443,8443,true,SIN,Asia Pacific,Singapore,75,13.39
8.219.107.135,2083,2083,true,SIN,Asia Pacific,Singapore,119,13.39
8.222.164.44,2082,2082,false,SIN,Asia Pacific,Singapore,25,13.38
8.219.248.170,2095,2095,false,SIN,Asia Pacific,Singapore,11,13.38
